,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0011210441589355469,0.037900447845458984,0.0018925666809082031,4.1484832763671875e-05,0.040955543518066406,california_housing_random_forest,1,PolySHAP-4ADD,18,8,37
0,0.001047372817993164,0.04489541053771973,0.0019063949584960938,2.5510787963867188e-05,0.04787468910217285,california_housing_random_forest,1,PolySHAP-4ADD,27,8,37
0,0.001361846923828125,0.057488441467285156,0.0021953582763671875,2.8133392333984375e-05,0.06107378005981445,california_housing_random_forest,1,PolySHAP-4ADD,39,8,37
0,0.0019736289978027344,0.08609890937805176,0.003216981887817383,3.218650817871094e-05,0.09132170677185059,california_housing_random_forest,1,PolySHAP-4ADD,57,8,37
0,0.0035343170166015625,0.2128462791442871,0.0044133663177490234,3.266334533691406e-05,0.2208266258239746,california_housing_random_forest,1,PolySHAP-4ADD,83,8,37
0,0.005243778228759766,0.24729442596435547,0.006051540374755859,3.457069396972656e-05,0.2586243152618408,california_housing_random_forest,1,PolySHAP-4ADD,121,8,37
0,0.005628824234008789,0.32593560218811035,0.0074617862701416016,3.552436828613281e-05,0.3390617370605469,california_housing_random_forest,1,PolySHAP-4ADD,176,8,37
0,0.0014255046844482422,0.41851282119750977,0.008630990982055664,3.337860107421875e-05,0.4286026954650879,california_housing_random_forest,1,PolySHAP-4ADD,256,8,37
0,0.0006461143493652344,0.033225297927856445,0.08263230323791504,3.337860107421875e-06,0.11650705337524414,california_housing_random_forest,1,RegressionMSR,9,8,37
0,0.0005648136138916016,0.015693187713623047,0.024550676345825195,4.0531158447265625e-06,0.04081273078918457,california_housing_random_forest,1,RegressionMSR,13,8,37
0,0.0006189346313476562,0.026447772979736328,0.025652170181274414,4.291534423828125e-06,0.05272316932678223,california_housing_random_forest,1,RegressionMSR,18,8,37
0,0.0008590221405029297,0.04080009460449219,0.026035785675048828,3.337860107421875e-06,0.06769824028015137,california_housing_random_forest,1,RegressionMSR,27,8,37
0,0.0011548995971679688,0.057503700256347656,0.04813265800476074,2.86102294921875e-06,0.10679411888122559,california_housing_random_forest,1,RegressionMSR,39,8,37
0,0.0017707347869873047,0.09056258201599121,0.04863715171813965,3.0994415283203125e-06,0.14097356796264648,california_housing_random_forest,1,RegressionMSR,57,8,37
0,0.002071857452392578,0.14153671264648438,0.04958677291870117,3.337860107421875e-06,0.19319868087768555,california_housing_random_forest,1,RegressionMSR,83,8,37
0,0.003137350082397461,0.18251919746398926,0.055406808853149414,3.814697265625e-06,0.24106717109680176,california_housing_random_forest,1,RegressionMSR,121,8,37
0,0.0035593509674072266,0.2618412971496582,0.04251980781555176,3.337860107421875e-06,0.3079237937927246,california_housing_random_forest,1,RegressionMSR,176,8,37
0,0.0006833076477050781,0.3464963436126709,0.03607630729675293,4.0531158447265625e-06,0.38326001167297363,california_housing_random_forest,1,RegressionMSR,256,8,37
0,0.0005040168762207031,0.019213199615478516,0.0002503395080566406,2.86102294921875e-05,0.019996166229248047,california_housing_random_forest,2,LeverageSHAP,9,8,37
0,0.0006756782531738281,0.021998167037963867,0.0002586841583251953,2.7418136596679688e-05,0.02295994758605957,california_housing_random_forest,2,LeverageSHAP,13,8,37
0,0.00089263916015625,0.03889131546020508,0.0002956390380859375,3.218650817871094e-05,0.04011178016662598,california_housing_random_forest,2,LeverageSHAP,18,8,37
0,0.0012445449829101562,0.052466392517089844,0.0002689361572265625,2.7418136596679688e-05,0.05400729179382324,california_housing_random_forest,2,LeverageSHAP,27,8,37
0,0.0014777183532714844,0.06645822525024414,0.0002760887145996094,2.6464462280273438e-05,0.06823849678039551,california_housing_random_forest,2,LeverageSHAP,39,8,37
0,0.002057790756225586,0.09597921371459961,0.000324249267578125,2.956390380859375e-05,0.09839081764221191,california_housing_random_forest,2,LeverageSHAP,57,8,37
0,0.002805948257446289,0.16046714782714844,0.00028777122497558594,2.574920654296875e-05,0.16358661651611328,california_housing_random_forest,2,LeverageSHAP,83,8,37
0,0.003583669662475586,0.18456029891967773,0.0002918243408203125,2.7418136596679688e-05,0.1884632110595703,california_housing_random_forest,2,LeverageSHAP,121,8,37
0,0.003832578659057617,0.26366662979125977,0.0003066062927246094,2.8371810913085938e-05,0.2678341865539551,california_housing_random_forest,2,LeverageSHAP,176,8,37
0,0.0008108615875244141,0.3617570400238037,0.0003428459167480469,2.86102294921875e-05,0.36293935775756836,california_housing_random_forest,2,LeverageSHAP,256,8,37
0,0.0004887580871582031,0.013852596282958984,0.0004169940948486328,4.076957702636719e-05,0.014799118041992188,california_housing_random_forest,2,OldLeverageSHAP,9,8,37
0,0.0005311965942382812,0.015956640243530273,0.00020956993103027344,4.1961669921875e-05,0.016739368438720703,california_housing_random_forest,2,OldLeverageSHAP,13,8,37
0,0.0006153583526611328,0.028263330459594727,0.0002789497375488281,4.3392181396484375e-05,0.029201030731201172,california_housing_random_forest,2,OldLeverageSHAP,18,8,37
0,0.0009412765502929688,0.04557180404663086,0.0003333091735839844,4.744529724121094e-05,0.04689383506774902,california_housing_random_forest,2,OldLeverageSHAP,27,8,37
0,0.0014350414276123047,0.06352019309997559,0.00031280517578125,6.937980651855469e-05,0.0653374195098877,california_housing_random_forest,2,OldLeverageSHAP,39,8,37
0,0.0020720958709716797,0.09790897369384766,0.00035881996154785156,4.982948303222656e-05,0.10038971900939941,california_housing_random_forest,2,OldLeverageSHAP,57,8,37
0,0.0026373863220214844,0.16301608085632324,0.0005173683166503906,4.744529724121094e-05,0.16621828079223633,california_housing_random_forest,2,OldLeverageSHAP,83,8,37
0,0.0036873817443847656,0.1975712776184082,0.0005617141723632812,5.054473876953125e-05,0.20187091827392578,california_housing_random_forest,2,OldLeverageSHAP,121,8,37
0,0.003889322280883789,0.27902770042419434,0.0005855560302734375,4.76837158203125e-05,0.2835502624511719,california_housing_random_forest,2,OldLeverageSHAP,176,8,37
0,0.0007855892181396484,0.3709585666656494,0.00058746337890625,6.4849853515625e-05,0.37239646911621094,california_housing_random_forest,2,OldLeverageSHAP,256,8,37
0,0.0004711151123046875,0.014338970184326172,0.0004932880401611328,2.0265579223632812e-05,0.015323638916015625,california_housing_random_forest,2,PolySHAP-2ADD,9,8,37
0,0.0005755424499511719,0.016581058502197266,0.0005240440368652344,2.002716064453125e-05,0.017700672149658203,california_housing_random_forest,2,PolySHAP-2ADD,13,8,37
0,0.0006952285766601562,0.029216766357421875,0.000568389892578125,2.47955322265625e-05,0.03050518035888672,california_housing_random_forest,2,PolySHAP-2ADD,18,8,37
0,0.0009992122650146484,0.04581952095031738,0.0006825923919677734,2.6941299438476562e-05,0.04752826690673828,california_housing_random_forest,2,PolySHAP-2ADD,27,8,37
0,0.0014863014221191406,0.06059145927429199,0.0007090568542480469,2.6226043701171875e-05,0.06281304359436035,california_housing_random_forest,2,PolySHAP-2ADD,39,8,37
0,0.0020227432250976562,0.08857083320617676,0.00077056884765625,2.765655517578125e-05,0.09139180183410645,california_housing_random_forest,2,PolySHAP-2ADD,57,8,37
0,0.002487659454345703,0.14970731735229492,0.0009038448333740234,2.6702880859375e-05,0.15312552452087402,california_housing_random_forest,2,PolySHAP-2ADD,83,8,37
0,0.003765106201171875,0.1862318515777588,0.0009577274322509766,2.8133392333984375e-05,0.19098281860351562,california_housing_random_forest,2,PolySHAP-2ADD,121,8,37
0,0.004079341888427734,0.27224016189575195,0.0010714530944824219,2.7894973754882812e-05,0.277418851852417,california_housing_random_forest,2,PolySHAP-2ADD,176,8,37
0,0.0008387565612792969,0.359907865524292,0.0011441707611083984,2.9802322387695312e-05,0.3619205951690674,california_housing_random_forest,2,PolySHAP-2ADD,256,8,37
0,0.0005211830139160156,0.015917062759399414,0.001123666763305664,2.3365020751953125e-05,0.017585277557373047,california_housing_random_forest,2,PolySHAP-3ADD,9,8,37
0,0.0006387233734130859,0.019341468811035156,0.001257181167602539,2.4557113647460938e-05,0.021261930465698242,california_housing_random_forest,2,PolySHAP-3ADD,13,8,37
0,0.0008347034454345703,0.035607337951660156,0.0014297962188720703,2.956390380859375e-05,0.03790140151977539,california_housing_random_forest,2,PolySHAP-3ADD,18,8,37
0,0.0012485980987548828,0.05544853210449219,0.0014808177947998047,3.170967102050781e-05,0.05820965766906738,california_housing_random_forest,2,PolySHAP-3ADD,27,8,37
0,0.0016837120056152344,0.06464767456054688,0.001486063003540039,2.9325485229492188e-05,0.06784677505493164,california_housing_random_forest,2,PolySHAP-3ADD,39,8,37
0,0.00206756591796875,0.09058165550231934,0.0018401145935058594,3.0040740966796875e-05,0.09451937675476074,california_housing_random_forest,2,PolySHAP-3ADD,57,8,37
0,0.002483844757080078,0.1509091854095459,0.0021028518676757812,3.361701965332031e-05,0.15552949905395508,california_housing_random_forest,2,PolySHAP-3ADD,83,8,37
0,0.003798961639404297,0.18812894821166992,0.003917694091796875,3.719329833984375e-05,0.19588279724121094,california_housing_random_forest,2,PolySHAP-3ADD,121,8,37
